version,caseid,profile_gender,profile_age,profile_state,profile_relig,w3qual,w3p_ideo,w3reg,w3regstate,w3turnout,w3hsvote,w3hswho,w3dthonest,w3dem1honest,w3socmedia2_f,w3socmedia2_i,w3socmedia2_s,w3socmedia2_t,w3startdt,w3enddt,w3device
ANES 2020-22 Social Media Study 20230705,28,2,41,FL,11,-6,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,29,1,35,TN,11,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,30,1,63,MA,12,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,31,1,71,PA,10,1,-6,1,-1,4,1,2,3,5,1,1,2,1,11/11/2022 12:13,11/24/2022 11:24,Desktop
ANES 2020-22 Social Media Study 20230705,32,1,64,NC,14,1,-6,1,-1,4,1,1,5,1,2,2,-7,2,11/12/2022 2:49,11/12/2022 3:26,Smartphone
ANES 2020-22 Social Media Study 20230705,33,1,71,WA,14,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,34,1,42,NE,2,1,-6,1,-1,4,1,2,4,5,1,1,-7,1,11/13/2022 0:01,11/13/2022 0:29,Smartphone
ANES 2020-22 Social Media Study 20230705,35,1,27,TX,2,1,-6,1,-1,4,1,1,5,4,1,1,1,1,11/10/2022 15:00,11/10/2022 16:45,Smartphone
ANES 2020-22 Social Media Study 20230705,36,1,19,OH,11,1,-6,1,-1,4,1,1,5,3,1,1,1,1,11/10/2022 18:23,11/10/2022 18:46,Smartphone
ANES 2020-22 Social Media Study 20230705,37,2,56,TN,14,-6,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,38,1,73,NC,1,1,-6,1,-1,4,1,2,1,5,2,2,2,2,11/25/2022 17:22,11/25/2022 17:53,Tablet
ANES 2020-22 Social Media Study 20230705,39,1,54,MT,12,1,-6,1,-1,4,1,2,5,2,1,2,1,2,11/12/2022 10:11,11/12/2022 10:42,Smartphone
ANES 2020-22 Social Media Study 20230705,40,2,66,IL,1,1,-6,1,-1,4,1,-7,5,1,1,2,2,-7,11/10/2022 14:57,11/10/2022 15:28,Desktop
ANES 2020-22 Social Media Study 20230705,41,1,62,FL,2,1,-6,1,-1,4,1,2,2,5,1,-7,-7,-7,11/17/2022 13:08,11/17/2022 13:42,Smartphone
ANES 2020-22 Social Media Study 20230705,42,2,30,OH,11,1,-6,2,-1,1,2,-1,3,4,1,2,2,2,11/10/2022 14:40,11/10/2022 15:04,Smartphone
ANES 2020-22 Social Media Study 20230705,43,1,52,IN,1,1,1,1,-1,4,1,1,5,1,1,2,-7,2,11/9/2022 14:56,11/9/2022 15:56,Desktop
ANES 2020-22 Social Media Study 20230705,44,2,31,NY,2,9,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,11/16/2022 14:46,11/16/2022 14:54,Smartphone
ANES 2020-22 Social Media Study 20230705,45,1,42,CA,12,1,-6,1,-1,2,2,-1,5,3,1,1,1,-7,11/12/2022 14:40,11/12/2022 15:07,Smartphone
ANES 2020-22 Social Media Study 20230705,46,1,40,SC,1,1,-6,1,-1,4,1,2,4,5,1,1,2,1,11/12/2022 13:52,11/12/2022 15:16,Smartphone
ANES 2020-22 Social Media Study 20230705,47,2,32,TX,1,-6,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,48,1,73,WI,1,1,-6,1,-1,4,1,1,5,3,1,2,2,2,11/10/2022 17:07,11/10/2022 17:34,Desktop
ANES 2020-22 Social Media Study 20230705,49,2,42,PA,2,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,50,1,57,CO,1,1,-6,1,-1,4,1,2,2,5,2,2,2,2,11/13/2022 3:08,11/13/2022 3:27,Desktop
ANES 2020-22 Social Media Study 20230705,51,2,48,NJ,11,1,-6,1,-1,4,1,1,5,2,1,2,2,2,11/12/2022 19:30,11/12/2022 19:52,Smartphone
ANES 2020-22 Social Media Study 20230705,52,2,78,NY,2,1,-6,3,-1,4,2,-1,5,5,-1,-1,-1,-1,11/11/2022 11:29,11/11/2022 11:41,Desktop
ANES 2020-22 Social Media Study 20230705,53,1,55,MO,11,1,-6,1,-1,4,1,2,5,3,2,2,2,2,11/10/2022 17:14,11/10/2022 17:35,Desktop
ANES 2020-22 Social Media Study 20230705,54,1,37,MI,2,1,-6,1,-1,4,1,1,3,2,1,1,2,1,11/9/2022 17:00,11/9/2022 17:10,Smartphone
ANES 2020-22 Social Media Study 20230705,55,1,70,NY,14,1,-6,1,-1,4,1,1,5,2,-1,-1,-1,-1,12/6/2022 12:30,12/6/2022 13:01,Desktop
ANES 2020-22 Social Media Study 20230705,56,2,70,AZ,12,1,-6,2,-1,1,2,-1,5,3,-1,-1,-1,-1,11/10/2022 18:37,11/10/2022 19:14,Desktop
ANES 2020-22 Social Media Study 20230705,57,1,47,MO,12,1,-6,1,-1,4,1,1,4,4,1,2,2,2,11/10/2022 16:21,11/10/2022 16:41,Smartphone
ANES 2020-22 Social Media Study 20230705,58,2,76,TX,2,1,-6,1,-1,4,1,2,5,5,-1,-1,-1,-1,11/10/2022 16:19,11/10/2022 16:49,Tablet
ANES 2020-22 Social Media Study 20230705,59,1,68,NY,14,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,60,1,67,MI,2,1,-6,1,-1,4,1,1,5,2,1,-7,-7,-7,11/10/2022 18:33,11/10/2022 19:07,Smartphone
ANES 2020-22 Social Media Study 20230705,61,2,55,MA,2,1,-6,1,-1,4,1,1,5,1,2,1,2,1,11/10/2022 14:09,11/10/2022 14:25,Smartphone
ANES 2020-22 Social Media Study 20230705,62,2,49,MI,14,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,63,1,77,CT,9,1,4,1,-1,4,1,2,4,4,1,2,2,2,11/11/2022 8:23,11/11/2022 8:59,Desktop
ANES 2020-22 Social Media Study 20230705,64,1,76,NY,14,1,-6,1,-1,4,1,2,2,5,1,1,2,2,11/9/2022 14:51,11/9/2022 15:16,Desktop
ANES 2020-22 Social Media Study 20230705,65,1,27,TX,10,1,-6,1,-1,4,1,1,4,2,1,1,1,1,11/10/2022 13:52,11/10/2022 15:04,Desktop
ANES 2020-22 Social Media Study 20230705,66,1,69,ME,2,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,67,1,51,MO,11,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,68,2,64,IL,2,1,-6,1,-1,4,1,2,3,5,2,2,2,2,11/11/2022 12:15,11/11/2022 12:44,Desktop
ANES 2020-22 Social Media Study 20230705,69,1,55,NJ,2,1,-6,1,-1,4,1,1,5,3,1,2,-7,-7,11/10/2022 20:52,11/10/2022 21:19,Smartphone
ANES 2020-22 Social Media Study 20230705,70,1,42,AZ,10,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,71,2,74,FL,1,-6,7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,72,2,73,MA,12,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,73,2,76,ID,14,1,2,1,-1,4,1,1,5,2,1,2,2,1,11/10/2022 17:17,11/10/2022 18:02,Smartphone
ANES 2020-22 Social Media Study 20230705,74,2,39,OR,11,1,3,1,-1,4,1,2,3,3,1,1,1,2,11/10/2022 14:32,11/10/2022 15:02,Smartphone
ANES 2020-22 Social Media Study 20230705,75,1,20,NJ,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,76,2,39,IL,1,1,3,1,-1,4,1,1,5,4,1,1,2,2,11/13/2022 9:47,11/13/2022 10:08,Desktop
ANES 2020-22 Social Media Study 20230705,77,1,63,MI,11,1,-6,1,-1,4,1,1,5,3,1,2,2,1,11/10/2022 14:06,11/10/2022 14:34,Desktop
ANES 2020-22 Social Media Study 20230705,78,1,25,PA,1,1,-6,2,-1,1,2,-1,5,5,1,1,2,1,11/10/2022 14:53,11/10/2022 15:09,Desktop
ANES 2020-22 Social Media Study 20230705,79,1,60,WI,11,1,4,1,-1,4,1,1,4,2,-1,-1,-1,-1,11/10/2022 20:58,11/10/2022 21:35,Smartphone
ANES 2020-22 Social Media Study 20230705,80,2,58,CA,10,1,-6,1,-1,1,2,-1,5,2,2,1,2,2,11/12/2022 5:14,11/15/2022 23:22,Smartphone
ANES 2020-22 Social Media Study 20230705,81,2,39,TN,12,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,82,1,41,CA,10,1,-6,1,-1,4,1,1,5,3,1,1,2,1,11/10/2022 15:01,11/12/2022 13:10,Smartphone
ANES 2020-22 Social Media Study 20230705,83,2,27,OK,12,9,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,11/10/2022 14:13,11/10/2022 14:20,Smartphone
ANES 2020-22 Social Media Study 20230705,84,1,61,CA,1,1,-6,1,-1,4,1,2,5,3,1,1,2,2,11/10/2022 19:31,11/10/2022 20:02,Smartphone
ANES 2020-22 Social Media Study 20230705,85,1,64,CA,10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,86,1,23,CA,11,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,87,2,39,MA,14,1,-6,1,-1,2,2,-1,4,5,1,1,2,1,11/18/2022 13:26,11/18/2022 13:54,Desktop
ANES 2020-22 Social Media Study 20230705,88,2,61,MI,10,1,-6,1,-1,4,1,1,5,2,2,2,2,2,11/9/2022 12:48,11/9/2022 13:04,Desktop
ANES 2020-22 Social Media Study 20230705,89,1,67,MD,1,1,3,1,-1,4,2,-1,4,4,2,1,2,2,11/22/2022 8:54,11/22/2022 9:11,Desktop
ANES 2020-22 Social Media Study 20230705,90,1,78,MD,2,1,-6,1,-1,4,1,1,5,1,1,2,2,2,11/10/2022 21:08,11/10/2022 21:47,Smartphone
ANES 2020-22 Social Media Study 20230705,91,2,61,PA,12,1,-6,1,-1,4,1,2,3,5,1,2,-7,2,11/10/2022 17:34,11/10/2022 18:14,Smartphone
ANES 2020-22 Social Media Study 20230705,92,1,65,NE,14,1,-6,1,-1,4,1,2,5,5,-1,-1,-1,-1,11/10/2022 18:22,11/10/2022 18:48,Desktop
ANES 2020-22 Social Media Study 20230705,93,1,39,TX,11,1,-6,1,TX,4,1,1,5,3,2,2,2,2,11/20/2022 23:11,11/20/2022 23:22,Desktop
ANES 2020-22 Social Media Study 20230705,94,1,58,TX,1,9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,11/11/2022 15:59,11/11/2022 16:07,Smartphone
ANES 2020-22 Social Media Study 20230705,95,1,46,FL,2,1,-6,1,-1,4,1,1,5,3,2,1,2,1,11/11/2022 19:29,11/11/2022 19:42,Desktop
ANES 2020-22 Social Media Study 20230705,96,2,28,MO,10,1,-6,2,-1,2,2,-1,5,3,1,1,2,2,11/12/2022 23:05,11/12/2022 23:28,Smartphone
ANES 2020-22 Social Media Study 20230705,97,1,39,CA,12,1,-6,1,-1,2,1,2,3,5,2,1,1,2,11/17/2022 8:23,11/17/2022 9:06,Smartphone
ANES 2020-22 Social Media Study 20230705,98,2,78,CA,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,99,1,60,TX,1,1,-6,1,-1,3,2,-1,5,5,-1,-1,-1,-1,11/13/2022 9:59,11/13/2022 10:29,Desktop
ANES 2020-22 Social Media Study 20230705,100,2,59,OR,14,1,-6,1,-1,4,1,2,3,4,1,2,2,2,11/9/2022 12:50,11/9/2022 13:13,Smartphone
ANES 2020-22 Social Media Study 20230705,101,1,38,UT,12,1,-6,1,-1,4,1,3,5,3,1,1,2,2,11/12/2022 11:23,11/12/2022 11:50,Desktop
ANES 2020-22 Social Media Study 20230705,102,2,64,ID,12,1,-6,1,-1,4,1,1,5,2,-7,1,-7,-7,11/10/2022 14:04,11/10/2022 18:23,Desktop
ANES 2020-22 Social Media Study 20230705,103,2,80,MS,1,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,104,1,63,WI,1,1,-6,1,-1,4,1,2,5,5,1,2,2,2,11/11/2022 6:55,11/11/2022 7:31,Smartphone
ANES 2020-22 Social Media Study 20230705,105,1,23,NY,14,1,-6,1,-1,2,1,1,4,5,2,1,2,2,11/12/2022 21:14,11/12/2022 21:23,Smartphone
ANES 2020-22 Social Media Study 20230705,106,1,61,OH,1,1,-6,1,-1,3,2,-1,5,4,1,2,2,2,11/11/2022 12:35,11/11/2022 14:08,Smartphone
ANES 2020-22 Social Media Study 20230705,108,2,74,AL,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,109,2,22,TX,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,110,1,47,IL,2,1,-6,1,-1,4,1,1,5,2,1,-7,-7,-7,11/10/2022 13:48,11/10/2022 14:47,Desktop
ANES 2020-22 Social Media Study 20230705,111,1,64,FL,14,1,-6,1,-1,4,1,2,3,5,1,1,2,2,11/10/2022 14:38,11/10/2022 15:17,Desktop
ANES 2020-22 Social Media Study 20230705,112,2,39,WI,1,1,-6,1,-1,4,2,-1,5,5,2,2,2,2,12/20/2022 15:31,12/31/2022 10:45,Smartphone
ANES 2020-22 Social Media Study 20230705,113,2,38,KS,1,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,114,2,67,OK,11,1,-6,1,-1,4,1,2,3,5,1,2,2,2,11/10/2022 21:56,11/11/2022 12:35,Smartphone
ANES 2020-22 Social Media Study 20230705,115,2,67,CA,14,1,-6,1,-1,4,1,2,4,5,1,1,2,2,11/11/2022 12:55,11/11/2022 13:27,Desktop
ANES 2020-22 Social Media Study 20230705,116,2,32,CA,12,1,-6,1,-1,1,2,-1,1,5,2,1,1,2,11/12/2022 13:08,11/12/2022 13:40,Smartphone
ANES 2020-22 Social Media Study 20230705,117,1,41,NY,11,1,-6,1,-1,4,1,1,5,2,2,2,2,2,11/10/2022 19:41,11/10/2022 20:10,Desktop
ANES 2020-22 Social Media Study 20230705,118,2,34,WI,10,1,4,1,-1,4,1,1,5,4,1,1,2,2,11/28/2022 19:13,11/28/2022 19:42,Smartphone
ANES 2020-22 Social Media Study 20230705,119,1,42,TX,11,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,120,1,61,CA,1,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,121,2,42,MI,1,1,-6,1,-1,1,2,-1,3,5,1,2,1,2,11/12/2022 18:55,11/12/2022 22:22,Desktop
ANES 2020-22 Social Media Study 20230705,122,1,64,NM,14,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,123,1,52,AZ,2,1,-6,1,-1,4,1,2,3,5,1,2,2,1,11/21/2022 11:53,11/21/2022 12:29,Smartphone
ANES 2020-22 Social Media Study 20230705,124,2,61,NJ,2,1,4,1,-1,4,1,1,5,2,1,1,2,1,11/10/2022 15:42,11/10/2022 19:03,Smartphone
ANES 2020-22 Social Media Study 20230705,125,1,45,NY,1,1,-6,1,-1,4,1,2,2,5,1,1,2,1,11/13/2022 18:15,11/13/2022 18:45,Desktop
ANES 2020-22 Social Media Study 20230705,126,1,51,AZ,12,1,-6,2,-1,1,2,-1,5,5,1,2,2,2,11/11/2022 4:35,11/11/2022 5:07,Smartphone
ANES 2020-22 Social Media Study 20230705,127,1,60,CA,14,9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,11/10/2022 13:39,11/10/2022 13:47,Smartphone
ANES 2020-22 Social Media Study 20230705,128,2,35,MO,12,-6,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,129,1,70,IL,14,1,2,1,-1,4,1,1,5,3,2,2,2,2,11/11/2022 21:45,11/11/2022 22:24,Desktop
ANES 2020-22 Social Media Study 20230705,130,2,31,NM,1,1,-6,1,-1,2,2,-1,5,3,1,1,2,1,11/10/2022 15:10,11/10/2022 15:19,Smartphone
ANES 2020-22 Social Media Study 20230705,131,1,75,VA,1,1,-6,1,-1,4,1,2,2,5,-1,-1,-1,-1,11/10/2022 19:17,11/10/2022 19:53,Desktop
ANES 2020-22 Social Media Study 20230705,132,1,34,PA,11,1,2,1,-1,3,2,-1,5,3,2,1,-7,-7,11/13/2022 20:41,11/13/2022 22:10,Smartphone
ANES 2020-22 Social Media Study 20230705,133,2,22,IN,1,1,5,1,-1,2,2,-1,2,2,1,1,1,2,11/22/2022 13:07,11/25/2022 17:55,Smartphone
ANES 2020-22 Social Media Study 20230705,134,1,59,IL,12,1,-6,1,-1,4,1,1,5,2,1,1,2,1,11/11/2022 6:05,11/11/2022 6:25,Desktop
ANES 2020-22 Social Media Study 20230705,135,1,38,CA,11,1,-6,1,-1,4,1,2,5,4,1,-7,-7,-7,11/14/2022 17:38,11/14/2022 18:01,Smartphone
ANES 2020-22 Social Media Study 20230705,136,2,57,TX,1,-6,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,137,1,74,TX,14,1,-6,1,-1,4,1,1,5,2,-1,-1,-1,-1,11/10/2022 19:26,11/10/2022 20:03,Desktop
ANES 2020-22 Social Media Study 20230705,138,1,71,FL,10,1,-6,1,-1,4,1,1,5,3,1,1,2,1,11/10/2022 22:50,11/10/2022 23:21,Desktop
ANES 2020-22 Social Media Study 20230705,139,2,25,WV,11,9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,11/11/2022 16:12,11/11/2022 16:25,Smartphone
ANES 2020-22 Social Media Study 20230705,140,1,58,MD,9,1,2,1,-1,4,1,1,5,2,2,-7,-7,2,11/10/2022 19:12,11/10/2022 19:48,Desktop
ANES 2020-22 Social Media Study 20230705,141,2,72,SC,14,1,4,1,-1,4,1,1,5,1,1,2,2,2,11/10/2022 20:53,11/10/2022 21:21,Desktop
ANES 2020-22 Social Media Study 20230705,142,1,49,KS,1,1,-6,1,-1,4,1,1,5,1,1,2,2,2,11/13/2022 18:51,11/13/2022 19:10,Smartphone
ANES 2020-22 Social Media Study 20230705,143,2,43,MA,2,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,144,2,72,WY,1,1,-6,1,-1,4,1,2,4,5,1,2,2,2,11/10/2022 16:41,11/10/2022 17:22,Smartphone
ANES 2020-22 Social Media Study 20230705,145,1,36,WI,14,1,-6,1,-1,4,1,1,5,2,1,1,1,1,11/13/2022 12:59,11/13/2022 13:29,Smartphone
ANES 2020-22 Social Media Study 20230705,146,1,30,NY,9,-6,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,147,2,27,CA,11,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,148,2,31,KS,1,1,4,2,-1,1,2,-1,3,3,1,1,1,2,11/18/2022 19:57,11/18/2022 20:51,Desktop
ANES 2020-22 Social Media Study 20230705,149,2,27,CA,10,1,-6,2,-1,1,2,-1,1,5,2,1,2,2,11/14/2022 15:29,11/14/2022 15:40,Desktop
ANES 2020-22 Social Media Study 20230705,150,2,38,UT,14,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,151,1,36,CA,10,1,-6,1,-1,4,1,1,5,3,1,1,2,2,11/12/2022 11:54,11/12/2022 12:23,Smartphone
ANES 2020-22 Social Media Study 20230705,152,2,74,MI,12,1,-6,1,-1,4,1,2,2,5,1,-7,-7,-7,11/12/2022 20:46,11/12/2022 22:14,Desktop
ANES 2020-22 Social Media Study 20230705,153,1,27,OK,2,1,-6,2,-1,1,2,-1,5,2,1,1,2,2,11/12/2022 21:07,11/12/2022 21:47,Smartphone
ANES 2020-22 Social Media Study 20230705,154,2,52,CA,12,1,-6,1,-1,1,2,-1,2,5,2,2,2,2,11/10/2022 13:25,11/11/2022 9:37,Desktop
ANES 2020-22 Social Media Study 20230705,155,2,57,CO,12,1,-6,1,-1,4,1,1,5,2,1,2,2,2,11/10/2022 19:34,11/10/2022 20:06,Smartphone
ANES 2020-22 Social Media Study 20230705,156,1,56,NJ,10,1,-6,1,-1,4,1,2,3,5,1,1,2,-7,11/11/2022 13:37,11/11/2022 14:01,Desktop
ANES 2020-22 Social Media Study 20230705,157,1,43,VA,12,-6,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,158,2,51,KY,1,1,-6,1,-1,4,2,-1,3,5,1,2,2,2,11/11/2022 14:05,11/14/2022 8:37,Smartphone
ANES 2020-22 Social Media Study 20230705,159,1,22,IL,12,1,-6,1,-1,4,1,1,3,3,1,1,1,1,11/21/2022 13:31,11/21/2022 13:52,Smartphone
